Trial Block Count,BL_AC,BL_SC,BL_AC,BL_SC,BL_AC,T1_SC,T1_AC,T2_SC_1,T2_SC_2,T2_AC,T3_SC,T3_AC,RTB_SC,RTB_AC
0.5,0.5,,,,,,,,,,,,,
1,,0.5,,,,,,,,,,,,
2,,0.625,,,,,,,,,,,,
3,,0.5,,,,,,,,,,,,
3.5,,,0.5,,,,,,,,,,,
4,,,,0.5,,,,,,,,,,
5,,,,0.5,,,,,,,,,,
6,,,,0.375,,,,,,,,,,
6.5,,,,,0.625,,,,,,,,,
7,,,,,,0.75,,,,,,,,
8,,,,,,0.375,,,,,,,,
9,,,,,,0.5,,,,,,,,
10,,,,,,0.375,,,,,,,,
11,,,,,,0.5,,,,,,,,
12,,,,,,0.5,,,,,,,,
13,,,,,,0.625,,,,,,,,
14,,,,,,0.75,,,,,,,,
15,,,,,,0.75,,,,,,,,
15.25,,,,,,,0.625,,,,,,,
15.5,,,,,,,0.75,,,,,,,
15.75,,,,,,,0.75,,,,,,,
16,,,,,,,,0.75,,,,,,
17,,,,,,,,0.625,,,,,,
18,,,,,,,,0.75,,,,,,
19,,,,,,,,0.625,,,,,,
20,,,,,,,,0.75,,,,,,
21,,,,,,,,0.75,,,,,,
22,,,,,,,,0.75,,,,,,
23,,,,,,,,0.875,,,,,,
24,,,,,,,,0.75,,,,,,
25,,,,,,,,1,,,,,,
26,,,,,,,,0.875,,,,,,
27,,,,,,,,0.875,,,,,,
28,,,,,,,,1,,,,,,
29,,,,,,,,1,,,,,,
30,,,,,,,,0.75,,,,,,
31,,,,,,,,,1,,,,,
32,,,,,,,,,0.875,,,,,
33,,,,,,,,,1,,,,,
33.25,,,,,,,,,,1,,,,
33.5,,,,,,,,,,1,,,,
33.75,,,,,,,,,,1,,,,
34,,,,,,,,,,,1,,,
35,,,,,,,,,,,1,,,
36,,,,,,,,,,,1,,,
36.25,,,,,,,,,,,,1,,
36.5,,,,,,,,,,,,1,,
36.75,,,,,,,,,,,,1,,
37,,,,,,,,,,,,,1,
38,,,,,,,,,,,,,1,
39,,,,,,,,,,,,,1,
40,,,,,,,,,,,,,1,
41,,,,,,,,,,,,,1,
41.25,,,,,,,,,,,,,,1
41.5,,,,,,,,,,,,,,1
41.75,,,,,,,,,,,,,,1
